Name,Taxon_ID,Accession_Number,Length
Bradyrhizobiaceae,41294,WP_019197104.1,282
Bradyrhizobiaceae,41294,WP_019196422.1,206
Afipia birgiae,151414,WP_019195414.1,356
Methanomassiliicoccus luminyensis,1080712,WP_019177973.1,157
Pseudaminobacter salicylatoxidans,93369,WP_019173800.1,201
Vibrio parahaemolyticus,670,KJR21055.1,227
Vibrio parahaemolyticus,670,KJR17111.1,227
Vibrio sp. S457-15,1620393,KJQ91222.1,227
Vibrio sp. S512-13,1620394,KJQ86621.1,227
Achromobacter xylosoxidans,85698,CKH18439.1,227
Pseudomonas aeruginosa,287,CKH81479.1,237
Candidatus Filomicrobium marinum,1608628,CFX38502.1,224
Shewanella algae,38313,WP_045283241.1,235
Pseudomonas sp. St29,1500687,BAQ78017.1,230
Pseudomonas sp. Os17,1500686,BAQ71824.1,230
Agrobacterium rubi,28099,WP_045230039.1,204
Agrobacterium rubi,28099,WP_045229052.1,203
Pseudomonas,286,WP_045210266.1,233
Pseudomonas sp. 21,1619948,WP_045209743.1,215
Pseudomonas sp. 2(2015),1619950,WP_045197930.1,230
Pseudomonas,286,WP_045190274.1,230
Pseudomonas fluorescens,294,WP_045154762.1,229
Photobacterium angustum,661,WP_045129040.1,217
Pseudomonas sp. 2(2015),1619950,KJK17272.1,230
Pseudomonas sp. 21,1619948,KJK01814.1,218
Pseudomonas sp. 5,1619949,KJK01532.1,230
Pseudomonas sp. 21,1619948,KJK00669.1,233
Legionella hackeliae,449,WP_045106392.1,229
Aliivibrio wodanis,80852,WP_045104485.1,221
Photobacterium leiognathi,553611,WP_045069475.1,217
Photobacterium leiognathi,553611,WP_045063764.1,217
Pseudomonas sp. ES3-33,1628833,WP_045060510.1,230
Pseudomonas sp. ES3-33,1628833,WP_045058678.1,235
Photobacterium kishitanii,318456,WP_045043996.1,217
Photobacterium iliopiscarium,56192,WP_045040850.1,217
Photobacterium iliopiscarium,56192,WP_045038610.1,217
Photobacterium phosphoreum,659,WP_045032151.1,216
Rhizobium nepotum,1035271,WP_045023638.1,177
Rhizobium nepotum,1035271,WP_045022645.1,202
Rhizobium nepotum,1035271,WP_045019977.1,221
Agrobacterium arsenijevicii,1585697,WP_045019397.1,221
Agrobacterium arsenijevicii,1585697,WP_045018859.1,201
Agrobacterium arsenijevicii,1585697,WP_045017949.1,177
Rhizobium nepotum,1035271,WP_045017449.1,201
Agrobacterium arsenijevicii,1585697,WP_045017312.1,202
Pseudomonas sp. 10B238,1586417,KJJ62434.1,231
Bradyrhizobium sp. LTSP849,1615890,WP_045014321.1,203
Bradyrhizobium sp. LTSP849,1615890,WP_045010941.1,251
Bradyrhizobium,374,WP_045008365.1,208
Bradyrhizobium sp. LTSP857,1619231,WP_045007817.1,202
Bradyrhizobium sp. LTSP857,1619231,WP_045005594.1,250
Bradyrhizobium sp. LTSP857,1619231,WP_045001678.1,208
Bradyrhizobium sp. LTSP857,1619231,WP_045001634.1,203
Vibrio cholerae,666,KJJ55994.1,220
Vibrio cholerae,666,KJJ50560.1,220
Vibrio cholerae,666,WP_000832891.1,220
Vibrio,662,WP_000832890.1,220
Vibrio cholerae,666,WP_000832889.1,220
Vibrio cholerae,666,WP_000832888.1,220
Vibrio mimicus,674,WP_000832887.1,220
Vibrio mimicus,674,WP_000832886.1,220
Vibrio mimicus,674,WP_000832885.1,220
Vibrio albensis,140100,WP_000832882.1,201
Halomonas titanicae BH1,1204738,ELY20754.1,233
Pseudomonas poae RE*1-1-14,1282356,AGE28545.1,238
Vibrio campbellii CAIM 519 = NBRC 15631,1224742,ELU50506.1,223
Ochrobactrum intermedium M86,1234597,ELT51177.1,202
Ochrobactrum intermedium M86,1234597,ELT47838.1,183
Ochrobactrum intermedium M86,1234597,ELT47420.1,206
Vibrio cholerae HC-81A1,991936,ELT42006.1,220
Vibrio cholerae HC-80A1,991988,ELT34156.1,220
Vibrio cholerae HC-7A1,991931,ELT26938.1,220
Vibrio cholerae HC-78A1,992009,ELT18114.1,220
Vibrio cholerae HC-72A2,1000953,ELT12317.1,220
Vibrio cholerae HC-71A1,991985,ELT02195.1,220
Vibrio cholerae HC-68A1,991983,ELS94910.1,220
Vibrio cholerae HC-67A1,991982,ELS87504.1,220
Vibrio cholerae HC-65A1,991981,ELS79976.1,220
Vibrio cholerae HC-64A1,991980,ELS72423.1,220
Pseudomonas furukawaii,1149133,ELS25752.1,232
Pseudomonas furukawaii,1149133,ELS25541.1,219
Pseudomonas furukawaii,1149133,ELS24070.1,230
Pseudomonas fluorescens BRIP34879,1205750,ELQ12627.1,274
Enterobacteriaceae bacterium strain FGI 57,693444,AGB80025.1,230
Rhizobium tropici CIAT 899,698761,AGB74896.1,224
Rhizobium tropici CIAT 899,698761,AGB71269.1,201
Rhizobium tropici CIAT 899,698761,AGB69746.1,199
Vibrio cholerae 4260B,1236549,ELP49014.1,220
Mesorhizobium australicum WSM2073,754035,AGB47426.1,227
Mesorhizobium australicum WSM2073,754035,AGB47385.1,317
Mesorhizobium australicum WSM2073,754035,AGB46709.1,208
Mesorhizobium australicum WSM2073,754035,AGB46664.1,202
Mesorhizobium australicum WSM2073,754035,AGB43259.1,204
Vibrio parahaemolyticus BB22OP,1211705,AGB12957.1,227
Pseudomonas stutzeri RCH2,644801,AGA86411.1,238
Liberibacter crescens BT-1,1215343,AGA65031.1,199
Pseudomonas putida HB3267,1215088,AGA71150.1,253
Thioalkalivibrio nitratireducens DSM 14787,1255043,AGA32274.1,250
Rhizobium sp. NT-26,1125847,CCF21954.1,204
Rhizobium sp. NT-26,1125847,CCF21665.1,188
Rhizobium sp. NT-26,1125847,CCF20292.1,184
Rhizobium sp. NT-26,1125847,CCF19468.1,201
Rhizobium sp. NT-26,1125847,CCF19119.1,163
Sinorhizobium meliloti GR4,1235461,AGA07052.1,196
Sinorhizobium meliloti GR4,1235461,AGA06384.1,202
Aureimonas sp. AU22,1638162,WP_061931420.1,205
Altererythrobacter epoxidivorans,361183,WP_061924945.1,332
Devosia,46913,WP_061911381.1,207
Devosia sp. Leaf420,1736374,WP_061908994.1,185
Pseudomonas alcaligenes,43263,WP_061904863.1,232
Pseudomonas alcaligenes,43263,WP_061903587.1,225
Vibrio cidicii,1763883,WP_061898838.1,244
Vibrio cidicii,1763883,WP_061898462.1,244
Vibrio cidicii,1763883,KYN91209.1,244
Vibrio cidicii,1763883,KYN81187.1,230
Vibrio cidicii,1763883,KYN79601.1,244
Aeromonas salmonicida subsp. salmonicida,29491,KYN74811.1,224
Aeromonas salmonicida subsp. salmonicida,29491,KYN73873.1,230
Vibrio cidicii,1763883,KYN23776.1,244
Pseudomonas alcaligenes,43263,AMR67685.1,232
Pseudomonas alcaligenes,43263,AMR66130.1,225
Pseudoalteromonas telluritireducens,162160,KYL34387.1,235
Pseudoalteromonas telluritireducens,162160,KYL34317.1,218
Pseudoalteromonas spiralis,162157,KYL32845.1,213
Bradyrhizobium liaoningense,43992,WP_061882831.1,208
Bradyrhizobium liaoningense,43992,WP_061881097.1,243
Bradyrhizobium liaoningense,43992,WP_061878777.1,208
Rhizobium sp. 9140,1761900,CZT35018.1,203
Rhizobium sp. 9140,1761900,CZT33788.1,206
Bradyrhizobium liaoningense,43992,KYK48100.1,208
Bradyrhizobium liaoningense,43992,KYK45820.1,243
Bradyrhizobium liaoningense,43992,KYK43562.1,208
Vibrio parahaemolyticus,670,KYJ95572.1,227
Vibrio parahaemolyticus,670,KYJ89968.1,227
Bifidobacterium bifidum,1681,KYJ84350.1,68
Marinobacter sp. LQ44,1749259,AMQ87542.1,219
Pseudomonas sp. MS586,1785145,AMQ85579.1,230
Bradyrhizobium sp. DOA1,1126616,WP_061850594.1,242
Bradyrhizobium sp. DOA1,1126616,WP_061849219.1,203
Bradyrhizobium sp. DOA1,1126616,WP_061847567.1,207
Bradyrhizobium sp. DOA1,1126616,WP_061846883.1,208
Bdellovibrio bacteriovorus,959,WP_061836882.1,187
Bradyrhizobium sp. DOA1,1126616,KYH02593.1,242
Bradyrhizobium sp. DOA1,1126616,KYH00993.1,203
Bradyrhizobium sp. DOA1,1126616,KYG98880.1,207
Bradyrhizobium sp. DOA1,1126616,KYG98088.1,208
Aeromonas veronii,654,AMQ45045.1,219
Aeromonas veronii,654,AMQ41632.1,224
Legionella pneumophila,446,WP_061721072.1,244
Legionella pneumophila subsp. pneumophila,91891,AMQ27280.1,244
Bdellovibrio bacteriovorus,959,KYG60987.1,187
Bradyrhizobium sp. AT1,574934,KYG25106.1,188
Bradyrhizobium sp. AT1,574934,KYG23484.1,243
Bradyrhizobium sp. AT1,574934,KYG21679.1,208
Bradyrhizobium sp. AT1,574934,KYG20213.1,207
Pseudomonas sp. NFPP02,1566216,SFY31399.1,207
Pseudomonas sp. NFR02,1566229,SFY42532.1,207
Enterobacter sp. NFIX03,1566257,SFX18443.1,234
Chitinimonas taiwanensis DSM 18899,1121279,SFZ72837.1,217
Legionella pneumophila,446,SFZ37946.1,244
Legionella pneumophila,446,SFZ37893.1,244
Legionella pneumophila,446,SFZ37890.1,244
Legionella pneumophila,446,SFZ37940.1,244
Halomonas sp. QHL1,1123773,WP_071693752.1,234
Halomonas sp. QHL1,1123773,OJA05068.1,234
Rhizobium tibeticum,501024,SEN14801.1,199
Rhizobium tibeticum,501024,SEO07311.1,201
Rhizobium tibeticum,501024,SEO58744.1,195
Rhizobium tibeticum,501024,SEP00455.1,318
Rhizobium sp. NFR03,1566263,SER84143.1,206
Rhizobium sp. NFR03,1566263,SES08776.1,203
Ochrobactrum cytisi,407152,WP_071632087.1,206
Arcobacter lekithochrous,1904463,WP_071627700.1,188
Arcobacter lekithochrous,1904463,WP_071627562.1,213
Arcobacter lekithochrous,1904463,WP_071627436.1,214
Arcobacter lekithochrous,1904463,WP_071626379.1,211
Citrobacter freundii,546,OIZ44810.1,230
Citrobacter freundii,546,OIY27859.1,229
Citrobacter portucalensis,1639133,OIY07167.1,230
Rhizobium tibeticum,501024,SEH55640.1,199
Rhizobium tibeticum,501024,SEH89832.1,201
Rhizobium tibeticum,501024,SEI06224.1,195
Rhizobium tibeticum,501024,SEI16946.1,318
Vibrio parahaemolyticus,670,APC90595.1,227
Pseudomonas aeruginosa,287,APC73882.1,237
Ochrobactrum cytisi,407152,OIS95381.1,202
Ochrobactrum cytisi,407152,OIS93164.1,206
Ochrobactrum cytisi,407152,OIS92612.1,194
Desulfovibrio piger,901,SFV72705.1,291
Pseudomonas sp. NFACC16-2,1554560,SFW87318.1,230
Pseudomonas sp. NFACC04-2,1566242,SFW80711.1,230
Pseudomonas sp. NFACC09-4,1566237,SFW89331.1,229
Pseudomonas sp. NFACC19-2,1566191,SFW43754.1,226
Desulfovibrio desulfuricans,876,SFW73597.1,330
Pseudomonas frederiksbergensis,104087,WP_071552540.1,230
Pseudodesulfovibrio hydrargyri,2125990,WP_071544367.1,242
Pseudomonas protegens,380021,APC19778.1,230
Pseudomonas frederiksbergensis,104087,APC16633.1,230
Pseudodesulfovibrio hydrargyri,2125990,OIQ52296.1,242
Pseudomonas aeruginosa,287,APB66275.1,237
Gammaproteobacteria bacterium MedPE,1860093,OIQ47966.1,233
Zetaproteobacteria bacterium CG2_30_59_37,1805430,OIQ01775.1,234
Thiomicrospira sp. CG2_30_44_34,1805397,OIP94524.1,222
Helicobacteraceae bacterium CG2_30_36_10,1805215,OIP53478.1,208
Hydrogenophilaceae bacterium CG1_02_62_390,1805218,OIO76650.1,214
Pseudomonas,286,WP_102669788.1,235
Halomonas endophytica,2033802,WP_102653603.1,235
Halomonas heilongjiangensis,1387883,WP_102627088.1,235
Vibrio alginolyticus,663,PNP28234.1,227
Vibrio cholerae,666,PNP24202.1,220
Vibrio alginolyticus,663,PNP20027.1,227
Aeromonas hydrophila,644,PNO63759.1,224
Aeromonas hydrophila,644,PNO61029.1,240
Aeromonas caviae,648,PNO60842.1,222
Aeromonas caviae,648,PNO59546.1,224
Aeromonas caviae,648,PNO57958.1,222
Aeromonas caviae,648,PNO55219.1,224
Vibrio parahaemolyticus,670,PNO28748.1,227
Vibrio parahaemolyticus,670,PNO23460.1,227
Vibrio vulnificus,672,PNN05317.1,245
Achromobacter xylosoxidans,85698,PNM92815.1,227
Vibrio parahaemolyticus,670,PNM79972.1,227
Vibrio vulnificus,672,PNM77080.1,245
Vibrio vulnificus,672,PNM65140.1,245
Vibrio mimicus,674,PNM63466.1,220
Vibrio harveyi,669,PNM62029.1,227
Vibrio harveyi,669,PNM51043.1,227
Bordetella parapertussis,519,PNM45513.1,227
Vibrio albensis,140100,PNM39734.1,201
Vibrio cholerae,666,PNM37619.1,220
Achromobacter xylosoxidans,85698,PNL99813.1,227
Legionella pneumophila subsp. pneumophila,91891,PNL78808.1,244
Pseudomonas aeruginosa,287,PNL15882.1,237
Pseudomonas,286,WP_102616617.1,230
Vibrio diazotrophicus,685,PNI06518.1,220
Vibrio diazotrophicus,685,PNI03623.1,220
Vibrio diazotrophicus,685,PNH98700.1,220
Vibrio diazotrophicus,685,PNH93921.1,220
Vibrio diazotrophicus,685,PNH90993.1,220
Vibrio diazotrophicus,685,PNH83079.1,220
Vibrio cholerae,666,AUR72240.1,220
Pseudomonas putida,303,PNG85194.1,230
Vibrio vulnificus,672,PNG77896.1,245
Vibrio vulnificus,672,PNG76580.1,245
Vibrio vulnificus,672,PNG70553.1,245
Vibrio vulnificus,672,PNG65422.1,245
Vibrio parahaemolyticus,670,WP_102590986.1,227
Pseudomonas asplenii,53407,PNG45249.1,230
Pseudomonas protegens,380021,PNG35568.1,230
Pseudomonas protegens,380021,PNG28076.1,230
Methylocella silvestris,199596,PNG26828.1,212
Halomonas urumqiensis,1684789,WP_102587367.1,211
Pseudomonas stutzeri,316,PNG13332.1,231
Pseudomonas stutzeri,316,PNG10852.1,236
Pseudomonas stutzeri,316,PNG05366.1,231
Rhizobiales bacterium,1909294,WP_113438987.1,189
Rhizobiales bacterium,1909294,WP_113438257.1,203
Rhizobiales bacterium,1909294,WP_113437092.1,191
Rhizobiales bacterium,1909294,WP_113433184.1,189
Rhizobiales bacterium,1909294,WP_113433083.1,202
Rhizobiales bacterium,1909294,WP_113431264.1,200
Rhizobiales bacterium,1909294,WP_113431155.1,110
Rhizobiales bacterium,1909294,WP_113425853.1,202
Rhizobiales bacterium,1909294,WP_113425759.1,203
Rhizobiales bacterium,1909294,WP_113424558.1,191
Rhizobiales bacterium,1909294,WP_113423805.1,224
Rhizobiales bacterium,1909294,WP_113420541.1,316
Rhizobiales bacterium,1909294,WP_113413865.1,197
Rhizobiales bacterium,1909294,WP_113412586.1,199
Rhizobiales bacterium,1909294,WP_113410115.1,199
Rhizobiales bacterium,1909294,WP_113409129.1,201
Rhizobiales bacterium,1909294,WP_113407345.1,224
Rhizobiales bacterium,1909294,WP_113399259.1,259
Rhizobiales bacterium,1909294,WP_113397677.1,316
Rhizobiales bacterium,1909294,WP_113385067.1,224
Rhizobiales bacterium,1909294,WP_113381542.1,201
Agrobacterium sp. MS2,1345498,WP_113380813.1,177
Rhizobiales bacterium,1909294,WP_113379696.1,205
Rhizobiales bacterium,1909294,WP_113377484.1,203
Rhizobiales bacterium,1909294,WP_113376795.1,319
Rhizobiales bacterium,1909294,WP_113371743.1,224
Rhizobiales bacterium,1909294,WP_113366502.1,316
Rhizobiales bacterium,1909294,WP_113364970.1,195
Rhizobiales bacterium,1909294,WP_113364558.1,195
Rhizobiales bacterium,1909294,WP_113364175.1,190
Rhizobiales bacterium,1909294,WP_113363252.1,319
Rhizobiales bacterium,1909294,WP_113363004.1,201
Rhizobiales bacterium,1909294,WP_113361253.1,201
Rhizobiales bacterium,1909294,WP_113361002.1,199
Rhizobiales bacterium,1909294,WP_113360323.1,224
Rhizobiales bacterium,1909294,WP_113352427.1,224
Rhizobiales bacterium,1909294,WP_113351415.1,199
Rhizobiales bacterium,1909294,WP_113349529.1,199
Rhizobiales bacterium,1909294,WP_113347030.1,224
Rhizobiales bacterium,1909294,WP_113342646.1,202
Rhizobiales bacterium,1909294,WP_113340611.1,191
Rhizobiales bacterium,1909294,WP_113340511.1,202
Rhizobiales bacterium,1909294,WP_113339575.1,187
Rhizobiales bacterium,1909294,WP_113335792.1,191
Rhizobiales bacterium,1909294,WP_113334099.1,201
Rhizobiales bacterium,1909294,WP_113333845.1,201
Rhizobiales bacterium,1909294,WP_113332798.1,224
Rhizobiales bacterium,1909294,WP_113329868.1,199
Rhizobiales bacterium,1909294,WP_113328084.1,241
Rhizobiales bacterium,1909294,WP_113325690.1,199
Aeromonas sp. YN13HZO-058,1921564,WP_075111822.1,244
Candidatus Berkiella aquae,295108,WP_075064741.1,218
Pseudomonas putida,303,WP_075046919.1,230
Aeromonas veronii,654,OLF59351.1,225
Aeromonas veronii,654,OLF57744.1,224
Pseudomonas chlororaphis,587753,OLF56705.1,230
Pseudomonas chlororaphis,587753,OLF54813.1,235
Vibrio parahaemolyticus,670,OLF45454.1,227
Aeromonas sp. YN13HZO-058,1921564,OLF23665.1,244
Aeromonas sp. YN13HZO-058,1921564,OLF21537.1,224
Pseudomonas aeruginosa,287,OLF03273.1,237
Acidobacteria bacterium 13_1_40CM_4_65_8,1803456,OLC82170.1,179
Acidobacteria bacterium 13_1_40CM_65_14,1803459,OLC39927.1,178
Alphaproteobacteria bacterium 13_2_20CM_2_64_7,1803507,OLB76854.1,209
Alphaproteobacteria bacterium 13_2_20CM_2_64_7,1803507,OLB76154.1,237
Alphaproteobacteria bacterium 13_2_20CM_2_64_7,1803507,OLB70682.1,200
Desulfovibrio piger,901,OLA82971.1,236
Bifidobacterium bifidum,1681,OKY80518.1,68
Desulfobulbaceae bacterium DB1,1920419,OKY76912.1,205
Pseudomonas citronellolis,53408,WP_074977309.1,231
Streptococcus equinus,1335,WP_074964504.1,123
Aliiroseovarius crassostreae,154981,WP_074963804.1,204
Pseudomonas composti,658457,WP_074940071.1,226
Pseudomonas,286,WP_074914396.1,226
Pseudomonas graminis,158627,WP_074892612.1,231
Pseudomonas,286,WP_074874431.1,235
Pseudomonas frederiksbergensis,104087,WP_074872408.1,230
Pseudomonas hussainii,1429083,WP_074869951.1,231
Pseudomonas oleovorans,301,WP_074861311.1,226
Bradyrhizobium,374,WP_074817601.1,222
Bradyrhizobium,374,WP_074815048.1,209
Kosakonia sacchari,1158459,WP_074775473.1,217
Pseudomonas abietaniphila,89065,WP_074757086.1,231
Pseudomonas abietaniphila,89065,WP_074752510.1,236
Ruegeria halocynthiae,985054,WP_074734502.1,206
Pseudomonas alcaliphila,101564,WP_074675027.1,226
Halomonas,2745,WP_074397015.1,224
Vibrio spartinae,1918945,WP_074371995.1,222
Vibrio parahaemolyticus,670,OKY49873.1,227
Vibrio parahaemolyticus,670,OKY46549.1,227
Vibrio parahaemolyticus,670,OKY43040.1,227
Vibrio parahaemolyticus,670,OKY39594.1,227
Bradyrhizobium erythrophlei,1437360,WP_074280115.1,120
Bradyrhizobium erythrophlei,1437360,WP_074275657.1,106
Bradyrhizobium erythrophlei,1437360,WP_074275351.1,207
Bradyrhizobium erythrophlei,1437360,WP_074272936.1,262
Oceanicola litoreus,1217970,WP_074255878.1,195
Pseudomonas aeruginosa,287,WP_074227105.1,199
Vibrio parahaemolyticus,670,OKY31181.1,227
Halodesulfovibrio marinisediminis,458711,WP_074216486.1,228
Pseudomonas sp. FW306-02-H06B,2070661,PMZ30698.1,230
Pseudomonas sp. FW306-02-F04-BA,2070655,PMZ24154.1,230
Pseudomonas sp. FW306-02-F08-AA,2070651,PMZ18261.1,230
Pseudomonas sp. FW306-02-F02-AA,2070652,PMZ12244.1,230
Pseudomonas sp. FW306-02-H06C,2070654,PMZ06389.1,230
Pseudomonas sp. FW306-02-F02-AB,2070653,PMZ00468.1,230
Pseudomonas sp. FW305-124,2070649,PMY96865.1,230
Pseudomonas sp. FW305-62,2070641,PMY94278.1,235
Pseudomonas sp. FW305-62,2070641,PMY89414.1,230
Pseudomonas sp. FW303-C2,2070640,PMY84247.1,235
Pseudomonas sp. FW303-C2,2070640,PMY83467.1,230
Pseudomonas sp. FW306-2-2C-D06B,2070645,PMY77991.1,230
Pseudomonas sp. FW126-L8,2070635,PMY75054.1,235
Pseudomonas sp. FW126-L8,2070635,PMY71093.1,229
Pseudomonas sp. FW305-25,2070636,PMY66239.1,235
Pseudomonas sp. FW305-25,2070636,PMY65952.1,229
Pseudomonas sp. MPR-R3A,2070647,PMY61671.1,230
Pseudomonas sp. FW305-53,2070638,PMY56966.1,235
Pseudomonas sp. GW456-L12,2070633,PMY53474.1,235
Pseudomonas sp. GW456-L12,2070633,PMY50615.1,229
Pseudomonas sp. FW306-2-2C-D06C,2070631,PMY46738.1,235
Pseudomonas sp. FW305-53,2070638,PMY45725.1,230
Pseudomonas sp. FW306-2-2C-D06C,2070631,PMY40372.1,229
Pseudomonas sp. GW456-L14,2070632,PMY40205.1,235
Pseudomonas sp. GW456-L14,2070632,PMY33861.1,229
Pseudomonas sp. FW305-3-2-15-A-R2A1,2070607,PMY33045.1,235
Pseudomonas sp. FW305-BF8,2070602,PMY26517.1,235
Pseudomonas sp. FW305-3-2-15-A-R2A1,2070607,PMY26090.1,230
Pseudomonas sp. GW460-13,2070590,PMY20297.1,235
Pseudomonas sp. FW305-BF8,2070602,PMY19225.1,230
Pseudomonas sp. GW460-13,2070590,PMY15027.1,230
Pseudomonas sp. GW460-C3,2070601,PMX97853.1,235
Pseudomonas sp. GW460-C3,2070601,PMX96431.1,230
Pseudomonas sp. MPR-R2A2,2070597,PMX85561.1,235
Pseudomonas sp. MPR-R2A2,2070597,PMX81423.1,230
Pseudomonas sp. GW456-12-1-14-LB2,2070606,PMX77965.1,235
Pseudomonas sp. GW456-12-1-14-LB2,2070606,PMX75193.1,230
Pseudomonas sp. GW456-A1B,2070559,PMX63163.1,235
Pseudomonas sp. FW507-29LB,2070557,PMX60587.1,235
Pseudomonas sp. GW456-A1B,2070559,PMX60076.1,230
Pseudomonas sp. FW507-29LB,2070557,PMX56604.1,230
Pseudomonas sp. FW215-E1,2070617,PMX23974.1,230
Pseudomonas sp. FW215-L1,2070614,PMX10267.1,230
Pseudomonas sp. GW460-E13,2070611,PMW96762.1,235
Pseudomonas sp. FW215-R2,2070615,PMW95013.1,230
Pseudomonas sp. GW460-12-1-14-LB3,2070612,PMW89090.1,235
Pseudomonas sp. GW460-E13,2070611,PMW88634.1,230
Pseudomonas sp. FW306-1C-G01A,2070609,PMW85158.1,235
Pseudomonas sp. GW460-12-1-14-LB3,2070612,PMW83301.1,230
Pseudomonas sp. GW460-8,2070608,PMW78861.1,235
Aeromonas hydrophila,644,OLQ70894.1,224
Methylobacterium phyllosphaerae,418223,WP_075380826.1,210
Rhizobium oryzae,464029,OLP60551.1,203
Rhizobium oryzae,464029,OLP59080.1,206
Rhizobium rhizosphaerae,1672749,OLP55354.1,203
Rhizobium rhizosphaerae,1672749,OLP52676.1,206
Rhizobium taibaishanense,887144,OLP50812.1,204
Rhizobium taibaishanense,887144,OLP48323.1,203
Rhizobium oryziradicis,1867956,OLP45330.1,205
Rhizobium oryziradicis,1867956,OLP43726.1,203
Rhizobium arenae,1856850,WP_075292376.1,189
Rhizobium arenae,1856850,WP_075291418.1,158
Rhizobium arenae,1856850,WP_075290795.1,206
Rhizobium arenae,1856850,WP_075290736.1,183
Rhizobium arenae,1856850,WP_075288774.1,202
Rhodoferax antarcticus ANT.BR,1111071,OLP04989.1,223
Salinicola sp. MH3R3-1,1928762,OLO06892.1,211
Salinicola sp. MH3R3-1,1928762,OLO06488.1,229
Salinicola socius,404433,OLO03982.1,211
Salinicola socius,404433,OLO03162.1,184
Aeromonas hydrophila,644,OLN99666.1,224
Aeromonas hydrophila,644,OLN98818.1,253
Methylobacterium phyllosphaerae,418223,APT32552.1,210
Methylobacterium phyllosphaerae,418223,APT32550.1,235
Methylobacterium phyllosphaerae,418223,APT32293.1,227
Pectobacterium carotovorum subsp. brasiliense,180957,APS31071.1,229
Labrenzia aggregata,187304,OLL43441.1,204
Rhizobium leguminosarum,384,WP_075225035.1,199
Rhizobium leguminosarum,384,WP_075224055.1,191
Mongoliimonas terrestris,1709001,WP_075215726.1,201
Mongoliimonas terrestris,1709001,WP_075214513.1,217
Rhizobium leguminosarum bv. viciae,387,OLG29032.1,191
Rhizobium leguminosarum bv. viciae,387,OLG26197.1,199
Rhizobium leguminosarum bv. viciae,387,OLG24861.1,201
Rhizobium leguminosarum bv. viciae,387,OLG24744.1,199
Alteromonadales bacterium BS08,1895005,WP_075185763.1,209
Neptunomonas phycophila,1572645,WP_075179023.1,216
Alteromonas sp. W12,1772289,WP_075176660.1,209
Alteromonas sp. W12,1772289,WP_075176124.1,226
Neptunomonas phycophila,1572645,WP_075172409.1,216
Pseudoalteromonas haloplanktis,228,WP_075169370.1,232
Thalassolituus oleivorans,187493,APR68727.1,210
Marinobacter sp. C18,1772288,OLF84799.1,220
Pseudoalteromonas haloplanktis,228,OLF80417.1,232
Alteromonas sp. W12,1772289,OLF79737.1,209
Alteromonas sp. W12,1772289,OLF78717.1,226
Thauera chlorobenzoica,96773,APR04552.1,238
Citrobacter freundii,546,APR33994.1,212
Pseudomonas chlororaphis,587753,WP_075118495.1,235
Pseudomonas chlororaphis,587753,WP_075117159.1,230
Microvirga guangxiensis,549386,WP_091135512.1,190
Aureimonas phyllosphaerae,1166078,WP_090966069.1,196
Aureimonas phyllosphaerae,1166078,WP_090966033.1,186
Aureimonas phyllosphaerae,1166078,WP_090963653.1,205
Bauldia litoralis,665467,WP_090881342.1,270
Bauldia litoralis,665467,WP_090878158.1,172
Neptunomonas qingdaonensis,1045558,WP_090725936.1,243
Beijerinckia sp. 28-YEA-48,1882748,WP_090699785.1,207
Aureimonas jatrophae,1166073,WP_090677337.1,194
Aureimonas jatrophae,1166073,WP_090674857.1,171
Aureimonas jatrophae,1166073,WP_090667613.1,201
Asticcacaulis taihuensis,260084,WP_090648635.1,284
Pelagibacterium luteolum,440168,WP_090597377.1,209
Pelagibacterium luteolum,440168,WP_090590088.1,173
Pseudomonas marincola,437900,WP_090510482.1,225
Pseudomonas borbori,289003,WP_090505266.1,199
Pseudomonas borbori,289003,WP_090503007.1,207
Pseudomonas borbori,289003,WP_090497472.1,236
Pseudomonas mohnii,395600,WP_090466026.1,230
Pseudomonas jessenii,77298,WP_090453767.1,235
Pseudomonas jessenii,77298,WP_090452369.1,230
Pseudomonas benzenivorans,556533,WP_090444246.1,253
Pseudomonas benzenivorans,556533,WP_090444079.1,207
Pseudomonas benzenivorans,556533,WP_090442159.1,236
Pseudomonas guguanensis,1198456,WP_090430861.1,226
Enterobacter sp. NFIX09,1566253,WP_090397200.1,217
Pseudomonas cuatrocienegasensis,543360,WP_090390906.1,235
Pseudomonas anguilliseptica,53406,WP_090387924.1,220
Pseudomonas anguilliseptica,53406,WP_090387533.1,230
Ferrimonas sediminum,718193,WP_090361334.1,173
Pseudomonas oryzae,1392877,WP_090348804.1,226
Pseudomonas oryzae,1392877,WP_090348298.1,280
Pseudomonas guariconensis,1288410,WP_090344735.1,225
Nitratireductor sp. ES.061,1855335,WP_090329339.1,272
Pseudomonas moorei,395599,WP_090327671.1,230
Pseudomonas moorei,395599,WP_090324390.1,235
Pseudomonas linyingensis,915471,WP_090312830.1,220
Pseudomonas linyingensis,915471,WP_090311384.1,114
Pseudomonas linyingensis,915471,WP_090311022.1,259
Pseudomonas linyingensis,915471,WP_090307623.1,231
Ensifer sp. YR511,1855294,WP_090299851.1,262
Pseudomonas,286,WP_090288073.1,230
Pseudomonas panipatensis,428992,WP_090268171.1,247
Pseudomonas peli,592361,WP_090251176.1,198
Pseudomonas peli,592361,WP_090248236.1,230
Pseudomonas guineae,425504,WP_090239215.1,223
